법령일련번호,현행연혁코드,법령명한글,법령약칭명,법령ID,공포일자,공포번호,제개정구분명,소관부처코드,소관부처명,법령구분명,시행일자,자법타법여부,법령상세링크,공백제거법령명
222267,현행,조달품질원 시험ㆍ분석 규칙,NaN,8202,20201005,808,타법개정,1230000,조달청,기획재정부령,20201005,NaN,/DRF/lawService.do?OC=ngho1202&target=law&MST=222267&type=HTML&mobileYn=&efYd=20201005,조달품질원시험ㆍ분석규칙
224875,현행,조세범 처벌법,NaN,1583,20201229,17761,타법개정,1051000,기획재정부,법률,20210101,NaN,/DRF/lawService.do?OC=ngho1202&target=law&MST=224875&type=HTML&mobileYn=&efYd=20210101,조세범처벌법
206317,현행,조세범 처벌절차법,NaN,641,20181231,16108,타법개정,1051000,기획재정부,법률,20190101,NaN,/DRF/lawService.do?OC=ngho1202&target=law&MST=206317&type=HTML&mobileYn=&efYd=20190101,조세범처벌절차법
207821,현행,조세범 처벌절차법 시행령,NaN,4914,20190212,29539,일부개정,1051000,기획재정부,대통령령,20190212,NaN,/DRF/lawService.do?OC=ngho1202&target=law&MST=207821&type=HTML&mobileYn=&efYd=20190212,조세범처벌절차법시행령
236253,현행,조세특례제한법,NaN,1584,20211019,18503,타법개정,1051000 1741000,"기획재정부,행정안전부",법률,20220420,NaN,/DRF/lawService.do?OC=ngho1202&target=law&MST=236253&type=HTML&mobileYn=&efYd=20220420,조세특례제한법
240309,현행,조세특례제한법 시행령,NaN,4920,20220215,32413,일부개정,1051000 1741000,"기획재정부,행정안전부",대통령령,20220401,NaN,/DRF/lawService.do?OC=ngho1202&target=law&MST=240309&type=HTML&mobileYn=&efYd=20220401,조세특례제한법시행령
241479,현행,조세특례제한법 시행규칙,NaN,8218,20220318,904,일부개정,1051000 1741000,"기획재정부,행정안전부",기획재정부령,20220318,NaN,/DRF/lawService.do?OC=ngho1202&target=law&MST=241479&type=HTML&mobileYn=&efYd=20220318,조세특례제한법시행규칙
241057,현행,조정위원규칙,NaN,5945,20220225,3037,일부개정,9740000,대법원,대법원규칙,20220225,NaN,/DRF/lawService.do?OC=ngho1202&target=law&MST=241057&type=HTML&mobileYn=&efYd=20220225,조정위원규칙
232889,현행,종자산업법,NaN,422,20210615,18265,일부개정,1543000,농림축산식품부,법률,20211216,NaN,/DRF/lawService.do?OC=ngho1202&target=law&MST=232889&type=HTML&mobileYn=&efYd=20211216,종자산업법
215223,현행,종자산업법 시행령,NaN,4925,20200303,30509,타법개정,1543000,농림축산식품부,대통령령,20200303,NaN,/DRF/lawService.do?OC=ngho1202&target=law&MST=215223&type=HTML&mobileYn=&efYd=20200303,종자산업법시행령
